t_ms,step,beam,score,prefix,next_token_id,next_token_str,new_seq
1761104509208,0,0,,,-1,,
1761104509208,0,1,,,-1,,
1761104509208,0,2,,,-1,,
1761104509242,1,0,,,-1,,
1761104509242,1,1,,,-1,,
1761104509242,1,2,,,-1,,
1761104509271,2,0,,,-1,,
1761104509271,2,1,,,-1,,
1761104509271,2,2,,,-1,,
1761104509300,3,0,,,-1,,
1761104509300,3,1,,,-1,,
1761104509300,3,2,,,-1,,
1761104509329,4,0,,,-1,,
1761104509329,4,1,,,-1,,
1761104509329,4,2,,,-1,,
1761104509357,5,0,,,-1,,
1761104509357,5,1,,,-1,,
1761104509357,5,2,,,-1,,
1761104509386,6,0,,,-1,,
1761104509386,6,1,,,-1,,
1761104509386,6,2,,,-1,,
1761104509415,7,0,,,-1,,
1761104509415,7,1,,,-1,,
1761104509415,7,2,,,-1,,
1761104509444,8,0,,,-1,,
1761104509444,8,1,,,-1,,
1761104509444,8,2,,,-1,,
1761104509473,9,0,,,-1,,
1761104509473,9,1,,,-1,,
1761104509473,9,2,,,-1,,
1761104509503,10,0,,,-1,,
1761104509503,10,1,,,-1,,
1761104509503,10,2,,,-1,,
1761104509531,11,0,,,-1,,
1761104509531,11,1,,,-1,,
1761104509531,11,2,,,-1,,
1761104509561,12,0,,,-1,,
1761104509561,12,1,,,-1,,
1761104509561,12,2,,,-1,,
1761104509590,13,0,,,-1,,
1761104509590,13,1,,,-1,,
1761104509590,13,2,,,-1,,
1761104509619,14,0,,,-1,,
1761104509619,14,1,,,-1,,
1761104509619,14,2,,,-1,,
1761104509648,15,0,,,-1,,
1761104509648,15,1,,,-1,,
1761104509648,15,2,,,-1,,
1761104509677,16,0,,,-1,,
1761104509677,16,1,,,-1,,
1761104509677,16,2,,,-1,,
1761104509707,17,0,,,-1,,
1761104509707,17,1,,,-1,,
1761104509707,17,2,,,-1,,
1761104509736,18,0,,,-1,,
1761104509736,18,1,,,-1,,
1761104509736,18,2,,,-1,,
1761104509765,19,0,,,-1,,
1761104509765,19,1,,,-1,,
1761104509765,19,2,,,-1,,
1761104509794,20,0,,,-1,,
1761104509794,20,1,,,-1,,
1761104509794,20,2,,,-1,,
1761104509824,21,0,,,-1,,
1761104509824,21,1,,,-1,,
1761104509824,21,2,,,-1,,
1761104509853,22,0,,,-1,,
1761104509853,22,1,,,-1,,
1761104509853,22,2,,,-1,,
1761104509882,23,0,,,-1,,
1761104509882,23,1,,,-1,,
1761104509882,23,2,,,-1,,
1761104509911,24,0,,,-1,,
1761104509911,24,1,,,-1,,
1761104509911,24,2,,,-1,,
1761104509941,25,0,,,-1,,
1761104509941,25,1,,,-1,,
1761104509941,25,2,,,-1,,
1761104509971,26,0,,,-1,,
1761104509971,26,1,,,-1,,
1761104509971,26,2,,,-1,,
1761104510001,27,0,,,-1,,
1761104510001,27,1,,,-1,,
1761104510001,27,2,,,-1,,
1761104510032,28,0,,,-1,,
1761104510032,28,1,,,-1,,
1761104510032,28,2,,,-1,,
1761104510062,29,0,,,-1,,
1761104510062,29,1,,,-1,,
1761104510062,29,2,,,-1,,
1761104510091,30,0,,,-1,,
1761104510091,30,1,,,-1,,
1761104510091,30,2,,,-1,,
1761104510121,31,0,,,-1,,
1761104510121,31,1,,,-1,,
1761104510121,31,2,,,-1,,
1761104510150,32,0,,,-1,,
1761104510150,32,1,,,-1,,
1761104510150,32,2,,,-1,,
1761104510180,33,0,,,-1,,
1761104510180,33,1,,,-1,,
1761104510180,33,2,,,-1,,
1761104510210,34,0,,,-1,,
1761104510210,34,1,,,-1,,
1761104510210,34,2,,,-1,,
1761104510240,35,0,,,-1,,
1761104510240,35,1,,,-1,,
1761104510240,35,2,,,-1,,
1761104510270,36,0,,,-1,,
1761104510270,36,1,,,-1,,
1761104510270,36,2,,,-1,,
1761104510300,37,0,,,-1,,
1761104510300,37,1,,,-1,,
1761104510300,37,2,,,-1,,
1761104510330,38,0,,,-1,,
1761104510330,38,1,,,-1,,
1761104510330,38,2,,,-1,,
1761104510360,39,0,,,-1,,
1761104510360,39,1,,,-1,,
1761104510360,39,2,,,-1,,
1761104510391,40,0,,,-1,,
1761104510391,40,1,,,-1,,
1761104510391,40,2,,,-1,,
1761104510421,41,0,,,-1,,
1761104510421,41,1,,,-1,,
1761104510421,41,2,,,-1,,
