speaker,start_sec,end_sec,duration_sec
SPEAKER_02,0.301,4.419,4.118
SPEAKER_02,5.768,14.538,8.770
SPEAKER_02,15.564,33.417,17.853
SPEAKER_01,43.798,56.202,12.403
SPEAKER_02,84.800,94.572,9.772
SPEAKER_02,94.817,101.261,6.444
SPEAKER_00,127.669,131.448,3.779
SPEAKER_00,131.574,133.349,1.775
SPEAKER_00,136.209,147.119,10.909
SPEAKER_00,148.671,152.551,3.880
SPEAKER_00,152.831,161.193,8.363
SPEAKER_02,183.408,184.742,1.334
SPEAKER_02,186.702,188.562,1.860
SPEAKER_02,188.807,192.925,4.118
