speaker,start_sec,end_sec,duration_sec
SPEAKER_01,0.301,4.623,4.322
SPEAKER_01,5.598,14.453,8.855
SPEAKER_01,15.530,34.046,18.515
SPEAKER_01,34.155,35.200,1.045
SPEAKER_01,37.550,39.207,1.656
SPEAKER_02,38.807,41.176,2.369
SPEAKER_02,42.831,62.840,20.010
SPEAKER_02,64.189,74.606,10.417
SPEAKER_02,84.138,94.674,10.536
SPEAKER_01,93.170,94.198,1.028
SPEAKER_02,94.681,101.244,6.563
SPEAKER_00,107.805,108.816,1.011
SPEAKER_00,110.793,117.203,6.410
SPEAKER_00,127.601,147.186,19.585
SPEAKER_00,148.569,152.517,3.948
SPEAKER_00,152.797,164.198,11.402
SPEAKER_01,156.124,157.339,1.215
SPEAKER_02,163.798,193.444,29.646
